aaa	T01445	Acidovorax avenae
fbc	T01306	Maribacter sp. HTCC2170
fbl	T01318	Ferrimonas balearica
fbr	T01625	Flavobacterium branchiophilum
fbt	T04058	Flammeovirgaceae bacterium 311
fbu	T04720	Flavobacteriaceae bacterium UJ101
fca	T02385	Felis catus (domestic cat)
fcd	T05043	Folsomia candida
fcf	T01937	Francisella cf. novicida Fx1
fch	T02911	Falco cherrug (Saker falcon)
fcm	T05006	Flavobacterium commune
fcn	T02078	Francisella hispaniensis 3523
fco	T01653	Flavobacterium columnare
fcy	T04784	Fragilariopsis cylindrus
fek	T05284	Flavivirga eckloniae
ffa	T05515	Flavobacterium faecale
ffo	T01936	Fervidicoccus fontis
fgi	T03038	Fimbriimonas ginsengisoli
fgl	T04609	Flavobacterium gilvum
fgo	T05460	Fusobacterium gonidiaformans
fgr	T01038	Fusarium graminearum
fgu	T03527	Allofrancisella guangzhouensis
fha	T04972	Francisella halioticida
fhi	T04700	Francisella hispaniensis FSC454
fhw	T04183	Fusobacterium hwasookii
fia	T04215	Fervidobacterium islandicum
fib	T04805	Fibrella sp. ES10-3-2-2
fil	T03856	Candidatus Filomicrobium marinum W
fin	T01781	Flavobacterium indicum
fis	T04195	Fischerella sp. NIES-3754
fiy	T03857	Candidatus Filomicrobium marinum Y
fjg	T04718	Flavobacterium anhuiense
fjo	T00508	Flavobacterium johnsoniae UW101
fki	T05683	Flavobacterium kingsejongi
fla	T04392	Flavisolibacter tropicus
flh	T05772	Flaviflexus sp. H23T48
fli	T02149	Bernardetia litoralis
fll	T05771	Flammeovirga sp. L12M1
flm	T04442	Flammeovirga sp. MY04
fln	T05172	Filimonas lacunae
flu	T05019	Candidatus Fluviicola riflensis
fma	T00661	Finegoldia magna
fme	T03132	Fomitiporia mediterranea
fmo	T05444	Fusobacterium mortiferum
fmr	T04678	Fuerstia marisgermanicae
fna	T02112	Francisella noatunensis subsp. orientalis Toba 04
fnc	T02822	Fusobacterium nucleatum subsp. vincentii 3_1_36A2
fne	T03612	Fusobacterium nucleatum subsp. animalis 7_1
fnl	T02952	Francisella noatunensis subsp. orientalis LADL--07-285A
fno	T00579	Fervidobacterium nodosum
fnt	T03625	Fusobacterium nucleatum subsp. vincentii 3_1_27
fnu	T00077	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
foh	T04482	Formosa sp. Hel3_A1_48
for	T04465	Formosa sp. Hel1_33_131
fox	T04882	Fusarium oxysporum
fpa	T02592	Faecalibacterium prausnitzii SL3/3
fpc	T03254	Flavobacterium psychrophilum CSF259-93
fpd	T05232	Fusobacterium periodonticum
fpe	T01808	Fervidobacterium pennivorans
fper	T04357	Francisella persica
fpf	T05953	Fabibacter pacificus
fpg	T02856	Falco peregrinus (peregrine falcon)
fph	T00652	Francisella philomiragia subsp. philomiragia ATCC 25017
fpj	T03621	Francisella philomiragia GA01-2801
fpk	T03661	Flavobacterium psychrophilum v4-33
fpl	T01172	Ferroglobus placidus
fpla	T04429	Flavonifractor plautii
fpn	T04282	Fictibacillus phosphorivorans
fpo	T03296	Flavobacterium psychrophilum FPG3
fpp	T03525	Frischella perrara
fpq	T03412	Flavobacterium psychrophilum 950106-1/1
fpr	T02591	Faecalibacterium prausnitzii L2-6
fps	T00548	Flavobacterium psychrophilum JIP02/86
fpsz	T04556	Flavobacterium psychrophilum Z2
fpu	T03456	Fusarium pseudograminearum
fpv	T03659	Flavobacterium psychrophilum V3-5
fpw	T03660	Flavobacterium psychrophilum V4-24
fpy	T03281	Flavobacterium psychrophilum FPG101
fpz	T03620	Francisella philomiragia GA01-2794
fra	T00320	Frankia casuarinae
frc	T05636	Francisella sp. CA97-1460
fre	T00608	Frankia sp. EAN1pec
frf	T03403	Francisella sp. FSC1006
fri	T01354	Frankia sp. EuI1c
frm	T05204	Francisella sp. MA067296
fro	T04268	Faecalibaculum rodentium
frp	T04281	Frondihabitans sp. PAMC 28766
frt	T01560	Francisella sp. TX077308
frx	T05017	Francisella sp. TX077310
fsa	T05345	Fastidiosipila sanguinis
fsc	T02105	Fibrobacter succinogenes
fsi	T01539	Flexistipes sinusarabici
fsl	T05752	Flaviflexus salsibiostraticola
fso	T05415	Candidatus Fokinia solitaria
fsu	T01099	Fibrobacter succinogenes
fsy	T01530	Frankia symbiont
fta	T00584	Francisella tularensis subsp. holarctica FTNF002-00
ftc	T03713	Francisella tularensis subsp. holarctica FTT_1
ftd	T03873	Francisella tularensis subsp. novicida F6168
fte	T01455	Fluviicola taffensis
ftf	T00381	Francisella tularensis subsp. tularensis FSC198
ftg	T01762	Francisella tularensis subsp. tularensis TIGB03
fth	T00399	Francisella tularensis subsp. holarctica OSU18
fti	T02350	Francisella tularensis subsp. holarctica FSC200
ftl	T00331	Francisella tularensis subsp. holarctica LVS
ftm	T00698	Francisella tularensis subsp. mediasiatica FSC147
ftn	T00432	Francisella tularensis subsp. novicida U112
fto	T03033	Francisella tularensis subsp. holarctica PHIT-FT049
ftq	T03888	Francisella tularensis subsp. tularensis SCHU S4 NR-28534
ftr	T01938	Francisella tularensis subsp. tularensis NE061598
fts	T02349	Francisella tularensis subsp. holarctica F92
ftt	T01761	Francisella tularensis subsp. tularensis TI0902
ftu	T00214	Francisella tularensis subsp. tularensis SCHU S4
ftv	T03714	Francisella tularensis subsp. holarctica VT68
ftw	T00495	Francisella tularensis subsp. tularensis WY96-3418
ftx	T03874	Francisella tularensis subsp. novicida U112
fty	T03875	Francisella tularensis subsp. novicida DPG 3A-IS
ftz	T03715	Francisella tularensis subsp. holarctica 425
ful	T05433	Fusobacterium ulcerans
fus	T02680	Fusobacterium nucleatum subsp. animalis 4_8
fva	T05280	Fusobacterium varium
fve	T02666	Fragaria vesca (woodland strawberry)
fvr	T04869	Fusarium verticillioides
gab	T05776	Gossypium arboreum
gac	T03507	Geoglobus acetivorans
gag	T01483	Glaciecola sp. 4H-3-7+YE-5
gah	T03939	Geoglobus ahangari
gai	T04938	Granulosicoccus antarcticus
gak	T05786	Glycocaulis alkaliphilus
gal	T04736	Gluconobacter albidus
gan	T01482	Gallibacterium anatis
gao	T04399	Geobacter anodireducens
gap	T03066	Gilliamella apicola
gar	T04229	Glutamicibacter halophytocola
gau	T00878	Gemmatimonas aurantiaca
gav	T05876	Gordonia alkanivorans
gba	T03025	Gemmatirosa kalamazoonesis
gbc	T03155	Granulibacter bethesdensis CGDNIH3
gbe	T00392	Granulibacter bethesdensis CGDNIH1
gbh	T03083	Granulibacter bethesdensis CGDNIH2
gbi	T04454	Immundisolibacter cernigliae
gbm	T00749	Geobacter bemidjiensis
gbr	T01102	Gordonia bronchialis
gbs	T03156	Granulibacter bethesdensis CGDNIH4
gca	T01295	Gallionella capsiferriformans
gct	T01245	Geobacillus sp. C56-T3
gdi	T00631	Gluconacetobacter diazotrophicus PA1 5 (Brazil)
gdj	T00798	Gluconacetobacter diazotrophicus PA1 5 (JGI)
gea	T03966	Geobacillus sp. 12AMOR1
geb	T01421	Geobacter sp. M18
ged	T04502	Candidatus Gullanella endobia
gee	T04168	Geminocystis sp. NIES-3708
geh	T05407	Gemmobacter sp. HYN0069
gei	T02366	Geitlerinema sp. PCC 7407
gej	T04412	Geobacillus sp. JS12
gel	T04018	Geobacillus sp. LC300
gem	T00933	Geobacter sp. M21
gen	T04142	Geminocystis sp. NIES-3709
geo	T00846	Geobacter daltonii FRC-32
geq	T05584	Gemella sp. ND 6198
ges	T04358	Gemmata sp. SH-PL17
gfe	T04493	Geosporobacter ferrireducens
gfl	T04640	Gramella flava
gfo	T00448	Gramella forsetii
gfr	T03755	Geospiza fortis (medium ground-finch)
gga	T01006	Gallus gallus (chicken)
ggh	T02455	Geobacillus sp. GHH01
ggo	T02442	Gorilla gorilla gorilla (western lowland gorilla)
ghi	T04793	Gossypium hirsutum (upland cotton)
gho	T04260	Grimontia hollisae
git	T05370	Gordonia iterans
gja	T04299	Gekko japonicus
gjf	T02798	Geobacillus genomosp. 3
gka	T00217	Geobacillus kaustophilus
gla	T01047	Giardia lamblia
gle	T05643	Glaesserella sp. 15-184
gli	T05193	Geobacillus lituanicus
glj	T02885	Gloeobacter kilaueensis
glo	T00708	Geobacter lovleyi
glp	T02400	Gloeocapsa sp. PCC 7428
glz	T04883	Glarea lozoyensis
gma	T01664	Granulicella mallensis
gmc	T01348	Geobacillus sp. Y4.1MC1
gme	T00295	Geobacter metallireducens
gmo	T05494	Gemella morbillorum
gmx	T01710	Glycine max (soybean)
gni	T01632	Glaciecola nitratireducens
gob	T01163	Geodermatophilus obscurus
goc	T05256	Gordonia sp. YC-JH1
gog	T05475	Gemmata obscuriglobus
goh	T02348	Gluconobacter oxydans H24
gom	T05722	Gordonia sp. MMS17-SY073
goq	T04097	Gordonia phthalatica
gor	T02216	Gordonia sp. KTR9
got	T04256	Gemella sp. oral taxon 928
gox	T00230	Gluconobacter oxydans 621H
goy	T03563	Gluconobacter oxydans DSM 3504
gpa	T02609	Gordonibacter pamelaeae
gpb	T01300	Gamma proteobacterium HdN1
gph	T04580	Gemmatimonas phototrophica
gpi	T03568	Geobacter pickeringii
gpo	T01719	Gordonia polyisoprenivorans
gps	T02535	Paraglaciecola psychrophila
gqu	T05060	Gibbsiella quercinecans
gra	T04129	Gossypium raimondii
grl	T04586	Gramella salexigens
grs	T05367	Gramella sp. SH35
gru	T05629	Gordonia rubripertincta
gry	T05660	Gryllotalpicola sp. 2DFW10M-5
gsb	T03585	Geoalkalibacter subterraneus
gse	T04043	Geobacillus stearothermophilus
gsk	T01940	Geobacter sulfurreducens KN400
gsl	T02926	Galdieria sulphuraria
gsn	T03690	Gynuella sunshinyii
gsr	T04323	Geobacillus subterraneus
gst	T03242	Bacillus sp. X1(2014)
gsu	T00155	Geobacter sulfurreducens PCA
gta	T04440	Gordonia terrae
gte	T01676	Geobacillus thermoleovorans CCB_US3_UF5
gth	T01531	Parageobacillus thermoglucosidasius C56-YS93
gtk	T04710	Geobacillus thermoleovorans KCTC 3570
gtl	T05803	Geovibrio thiophilus
gtm	T05178	Geobacillus thermocatenulatus
gtn	T00496	Geobacillus thermodenitrificans
gtr	T03130	Gloeophyllum trabeum
gtt	T02925	Guillardia theta
gur	T00521	Geobacter uraniireducens
gva	T01146	Gardnerella vaginalis 409-05
gvg	T01344	Gardnerella vaginalis ATCC 14019
gvh	T01939	Gardnerella vaginalis HMP9231
gvi	T00148	Gloeobacter violaceus
gwc	T00915	Geobacillus sp. WCH70
gxl	T03044	Komagataeibacter xylinus
gxy	T01631	Komagataeibacter medellinensis
gya	T01399	Geobacillus sp. Y412MC52
gyc	T01101	Geobacillus sp. Y412MC61
gym	T01100	Paenibacillus sp. Y412MC10
haa	T04333	Halotalea alkalilenta
hab	T03645	Haloarcula sp. CBA1115
hac	T00371	Helicobacter acinonychis
had	T05516	Helicobacter apodemus
hae	T05239	Halohasta litchfieldiae
haer	T05732	Haloplanus aerogenes
haf	T05423	Halomonas sp. SF2003
hag	T05375	Halomonas sp. GFAJ-1
hah	T01603	Halophilic archaeon DL31
hahe	T05793	Hahella sp. KA22
hai	T04661	Hipposideros armiger (great roundleaf bat)
haj	T05613	Haloplanus sp. CBA1113
hak	T03800	Halomonas sp. KO116
hal	T00038	Halobacterium salinarum NRC-1
halb	T05834	Halorubrum sp. BOL3-1
halh	T04517	Halodesulfurarchaeum formicicum HTSR1
hali	T04693	Halorientalis sp. IM1011
halk	T05720	Halomonas alkaliphila
halm	T05952	Haloprofundus sp. MHR1
halo	T04761	Halomonas sp. 1513
halp	T05770	Halorubrum sp. PV6
hals	T05769	Halocella sp. SP3-1
halz	T05947	Halomicrobium sp. ZP60
ham	T04029	Halomonas sp. R57-5
han	T05101	Helianthus annuus (common sunflower)
hao	T02379	Halothece sp. PCC 7418
hap	T00825	Glaesserella parasuis SH0165
haq	T05557	Haloplanus sp. CBA1112
har	T00490	Herminiimonas arsenicoxydans
harc	T05406	Haloarculaceae archaeon HArcel1
has	T01349	Halanaerobium hydrogeniformans
hat	T04275	Halocynthiibacter arcticus
hau	T00614	Herpetosiphon aurantiacus
hav	T03425	Hafnia alvei
haw	T05609	Helicoverpa armigera (cotton bollworm)
hax	T05649	Halobacteriovorax sp. BALOs_7
hay	T05707	Haemophilus sp. oral taxon 036
haz	T04441	Halothiobacillus sp. LS2
hba	T00945	Hirschia baltica
hbc	T04338	Hyphomonadaceae bacterium UKL13-1
hbe	T05125	Halomonas beimenensis
hbi	T01540	Helicobacter bizzozeronii
hbl	T04788	Helicobacter bilis
hbo	T01359	Halogeometricum borinquense
hbr	T05150	Hevea brasiliensis (rubber tree)
hbu	T00468	Hyperthermus butylicus
hca	T02036	Helicobacter pylori PeCan18
hcb	T02494	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847
hcc	T03595	Candidatus Hodgkinia cicadicola TETUND1
hcd	T03596	Candidatus Hodgkinia cicadicola TETUND2
hce	T02032	Helicobacter cetorum MIT 00-7128
hch	T00307	Hahella chejuensis
hci	T00938	Candidatus Hodgkinia cicadicola Dsem
hcm	T02033	Helicobacter cetorum MIT 99-5656
hcn	T02035	Helicobacter pylori HUP-B14
hco	T04292	Halomonas chromatireducens
hcp	T02034	Helicobacter cinaedi PAGU611
hcq	T04969	Hippocampus comes (tiger tail seahorse)
hcr	T03053	Candidatus Hepatoplasma crinochetorum
hcs	T03198	Halomonas campaniensis
hct	T03202	Candidatus Hodgkinia cicadicola TETULN
hda	T04679	Haloterrigena daqingensis
hde	T00911	Candidatus Hamiltonella defensa (Acyrthosiphon pisum)
hdi	T05217	Hartmannibacter diazotrophicus
hdl	T03878	Halobacterium sp. DL1
hdn	T01265	Hyphomicrobium denitrificans ATCC 51888
hdt	T02646	Hyphomicrobium denitrificans 1NES1
hdu	T00135	Haemophilus ducreyi
heb	T02939	Helicobacter pylori BM012A
hed	T04484	Candidatus Hoaglandella endobia
hee	T05024	Herbaspirillum sp. meg3
hef	T01910	Helicobacter pylori F16
heg	T01917	Helicobacter pylori Gambia94/24
hei	T02318	Helicobacter pylori Rif2
hel	T01311	Halomonas elongata
hem	T02757	Helicobacter pylori UM298
hen	T01916	Helicobacter pylori SNT49
heo	T02282	Helicobacter pylori 26695
hep	T01919	Helicobacter pylori Puno120
heq	T01911	Helicobacter pylori F32
her	T02317	Helicobacter pylori Rif1
hes	T01921	Helicobacter pylori SouthAfrica7
het	T05984	Helicobacter sp. MIT 01-6242
heu	T01920	Helicobacter pylori Puno135
hex	T01912	Helicobacter pylori F57
hey	T02130	Helicobacter pylori XZ274
hez	T02940	Helicobacter pylori BM012S
hfe	T01375	Helicobacter felis
hgi	T04025	Haloferax gibbonsii
hgl	T02812	Heterocephalus glaber (naked mole rat)
hha	T00462	Halorhodospira halophila
hhb	T04202	Halobacterium hubeiense
hhc	T03059	Halorhodospira halochloris
hhd	T02031	Halobacillus halophilus
hhe	T00133	Helicobacter hepaticus
hhf	T05937	Herbaspirillum huttiense
hhg	T04928	Halomicronema hongdechloris
hhh	T05117	Halomonas hydrothermalis
hhi	T01597	Haloarcula hispanica ATCC 33960
hhl	T02401	Halobacteroides halobius
hhm	T02626	Helicobacter heilmannii
hhn	T02949	Haloarcula hispanica N601
hho	T02482	Hydrogenobaculum sp. HO
hhp	T02037	Helicobacter pylori Shi112
hhq	T02038	Helicobacter pylori Shi169
hhr	T02039	Helicobacter pylori Shi417
hhs	T02865	Candidatus Pantoea carbekii
hhsr	T04550	Haloarchaeon HSR6
hht	T04039	Herbaspirillum hiltneri
hhu	T04119	Halomonas huangheensis
hhw	T05971	Hathewaya histolytica
hhy	T01491	Haliscomenobacter hydrossis
hia	T03436	Haemophilus influenzae CGSHiCZ412602
hic	T03721	Haemophilus influenzae C486
hie	T01980	Haemophilus influenzae R2846 (nontypeable)
hif	T01395	Haemophilus influenzae F3031 (nontypeable)
hih	T03485	Haemophilus influenzae Hi375
hik	T02839	Haemophilus influenzae KR494 (serotype f)
hil	T01400	Haemophilus influenzae F3047 (nontypeable)
hin	T00001	Haemophilus influenzae Rd KW20 (serotype d)
hip	T00543	Haemophilus influenzae PittEE (nontypeable)
hiq	T00544	Haemophilus influenzae PittGG (nontypeable)
hir	T03455	Heterobasidion irregulare
hit	T00248	Haemophilus influenzae 86-028NP (nontypeable)
hiu	T01720	Haemophilus influenzae 10810 (serotype b)
hiw	T03720	Haemophilus influenzae 477
hix	T03722	Haemophilus influenzae 723
hiz	T01981	Haemophilus influenzae R2866 (nontypeable)
hja	T04687	Halioglobus japonicus
hje	T01271	Halalkalicoccus jeotgali
hjo	T04366	Haematospirillum jordaniae
hjt	T05948	Haloterrigena jeotgali
hla	T00856	Halorubrum lacusprofundi
hlc	T04669	Halobiforma lacisalsi
hli	T05828	Halobacillus litoralis
hlm	T05944	Halobellus limi
hlr	T03008	Halostagnicola larsenii
hma	T00211	Haloarcula marismortui
hmc	T01557	Hyphomicrobium sp. MC1
hme	T02129	Haloferax mediterranei
hmg	T01080	Hydra vulgaris
hml	T05861	Haematobacter massiliensis
hmn	T04799	Halobacillus mangrovi
hmo	T00653	Heliobacterium modesticaldum
hmr	T01456	Hippea maritima
hms	T01191	Helicobacter mustelae
hmu	T00982	Halomicrobium mukohataei
hna	T01104	Halothiobacillus neapolitanus
hne	T00397	Hyphomonas neptunium
hni	T02943	Hyphomicrobium nitrativorans
hnv	T05498	Hymenobacter nivis
hoe	T03926	Hoeflea sp. IMCC20628
hoh	T01103	Haliangium ochraceum
hor	T00838	Halothermothrix orenii
hpa	T00365	Helicobacter pylori HPAG1
hpak	T03312	Glaesserella parasuis KL0318
hpar	T05667	Hafnia paralvei
hpas	T03301	Glaesserella parasuis SH03
hpaz	T02697	Glaesserella parasuis ZJ0906
hpb	T00950	Helicobacter pylori B38
hpc	T01322	Helicobacter pylori PeCan4
hpd	T02082	Helicobacter pylori 51
hpe	T01798	Helicobacter pylori ELS37
hpf	T01895	Helicobacter pylori F30
hpg	T00777	Helicobacter pylori G27
hph	T01896	Helicobacter pylori Lithuania75
hpi	T01893	Helicobacter pylori 908
hpj	T00020	Helicobacter pylori J99
hpk	T01941	Halanaerobium praevalens
hpl	T01262	Helicobacter pylori B8
hpm	T01323	Helicobacter pylori SJM180
hpn	T01918	Helicobacter pylori India7
hpo	T01892	Helicobacter pylori 35A
hpp	T00786	Helicobacter pylori P12
hpq	T01913	Helicobacter pylori 2017
hpr	T01605	Haemophilus parainfluenzae
hps	T00742	Helicobacter pylori Shi470
hpt	T01897	Helicobacter pylori Sat464
hpu	T01894	Helicobacter pylori Cuz20
hpv	T01899	Helicobacter pylori v225d
hpw	T01914	Helicobacter pylori 2018
hpx	T01915	Helicobacter pylori 83
hpy	T00008	Helicobacter pylori 26695
hpya	T02352	Helicobacter pylori Aklavik117
hpyb	T03182	Helicobacter pylori oki102
hpyc	T03723	Helicobacter pylori oki112
hpyd	T03724	Helicobacter pylori oki128
hpye	T03725	Helicobacter pylori oki154
hpyf	T03726	Helicobacter pylori oki422
hpyg	T03727	Helicobacter pylori oki673
hpyh	T03728	Helicobacter pylori oki828
hpyi	T02659	Helicobacter pylori UM037
hpyj	T03729	Helicobacter pylori oki898
hpyk	T02353	Helicobacter pylori Aklavik86
hpyl	T02542	Helicobacter pylori OK310
hpym	T02661	Helicobacter pylori UM299
hpyo	T02510	Helicobacter pylori OK113
hpyr	T02658	Helicobacter pylori UM032
hpys	T02807	Helicobacter pylori SouthAfrica20
hpyu	T02660	Helicobacter pylori UM066
hpz	T01898	Helicobacter pylori 52
hrb	T04238	Herbaspirillum rubrisubalbicans
hro	T03272	Helobdella robusta
hru	T02402	Halovivax ruber
hsa	T01001	Homo sapiens (human)
hsc	T05223	Hungateiclostridium saccincola
hsd	T04072	Herbinix luporum
hse	T01268	Herbaspirillum seropedicae SmR1
hsf	T04261	Halanaeroarchaeum sulfurireducens M27-SA2
hsi	T04554	Halomonas aestuarii
hsl	T00662	Halobacterium salinarum
hsm	T00673	Histophilus somni 2336
hsn	T05943	Halapricum salinum
hso	T00386	Histophilus somni 129PT
hst	T03918	Harpegnathos saltator (Jerdon's jumping ant)
hsu	T03927	Halanaeroarchaeum sulfurireducens HSR2
hsw	T03055	Hymenobacter swuensis
hsz	T04519	Herbaspirillum seropedicae Z67
hta	T05292	Haloarcula taiwanensis
hte	T02106	Hydrogenobacter thermophilus
hth	T01167	Hydrogenobacter thermophilus
hti	T02781	Halorhabdus tiamatea
htl	T05630	Hydrogenophilus thermoluteolus
htr	T05808	Hydrogenovibrio thermophilus
htu	T01154	Haloterrigena turkmenica
hty	T04174	Helicobacter typhlonius
hum	T05558	Humibacter sp. BT305
hut	T00971	Halorhabdus utahensis
hvn	T05892	Halomonas venusta
hvo	T01200	Haloferax volcanii
hwa	T00375	Haloquadratum walsbyi DSM 16790
hwc	T01942	Haloquadratum walsbyi C23
hxa	T01532	Halopiger xanaduensis
hya	T00745	Hydrogenobaculum sp. Y04AAS1
hyb	T04491	Hydrogenophaga sp. PBC
hyc	T05960	Hydrogenophaga sp. PAMC20947
hyd	T03500	Hymenobacter sp. DG25B
hye	T04064	Hymenobacter sp. DG25A
hyf	T05560	Hydromonas sp. F02
hyg	T04242	Hymenobacter sedentarius
hyh	T05656	Hymenobacter sp. sh-6
hyl	T04505	Hydrogenophaga sp. LPB0072
hym	T03213	Hymenobacter sp. APR13
hyo	T05789	Hydrogenimonas sp. MAG
hyp	T04376	Hymenobacter sp. PAMC 26554
hyr	T04455	Hydrogenophaga sp. RAC07
hys	T02516	Hydrogenobaculum sp. SN
hyz	T04961	Hymenobacter sp. PAMC 26628
iag	T01307	Ignisphaera aggregans
ial	T01943	Ignavibacterium album
ibu	T04182	Intestinimonas butyriciproducens
ica	T01385	Intrasporangium calvum
icp	T04149	Candidatus Ishikawaella capsulata
idi	T05226	Idiomarina sp. X4
ido	T04384	Isoptericola dokdonensis
idt	T05379	Idiomarina sp. OT37-5b
iho	T00587	Ignicoccus hospitalis
iis	T04205	Ignicoccus islandicus
ili	T02681	Idiomarina loihiensis GSL 199
ilo	T00218	Idiomarina loihiensis L2TR
ini	T04663	Ipomoea nil (Japanese morning glory)
iod	T05767	Iodobacter sp. H11R3
ipa	T01407	Isosphaera pallida
ipi	T04931	Idiomarina piscisalsi
ipo	T01337	Ilyobacter polytropus
ipu	T04658	Ictalurus punctatus (channel catfish)
isc	T01131	Ixodes scapularis (black-legged tick)
ise	T05228	Ichthyobacterium seriolicida
iva	T01520	Isoptericola variabilis
izh	T05975	Izhakiella sp. KSNA2
jab	T04271	Janthinobacterium sp. B9-8
jag	T03157	Janthinobacterium agaricidamnosum
jaj	T05896	Janthinobacterium sp. 17J80-10
jal	T04756	Janthinobacterium sp. LM6
jan	T00330	Jannaschia sp. CCS1
jaz	T04539	Janthinobacterium sp. 1_2014MBL_MicDiv
jcu	T03922	Jatropha curcas
jda	T04733	Jeotgalibaca dankookensis
jde	T00972	Jonesia denitrificans
jeh	T05782	Jeotgalibaca sp. H21T32
jeo	T03570	Jeotgalibacillus malaysiensis
jep	T04689	Jeotgalibaca sp. PTS2502
jeu	T04552	Jeongeupia sp. USM3
jli	T05853	Janibacter limosus
jre	T05245	Juglans regia (English walnut)
jsv	T05119	Janthinobacterium svalbardensis
jte	T04569	Janibacter indicus
kab	T05009	Kitasatospora albolonga
kaf	T02487	Kazachstania africana
kak	T05294	Ketobacter alkanivorans
kal	T03039	Kutzneria albida
kau	T05021	Kitasatospora aureofaciens
kba	T04547	Kozakia baliensis
kbl	T02427	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)
kbs	T05969	Ktedonobacterales bacterium SCAWS-G2
kbt	T02463	Candidatus Kinetoplastibacterium blastocrithidii TCC012E
kci	T02413	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
kco	T04691	Kosakonia cowanii
kcr	T00668	Candidatus Korarchaeum cryptofilum
kct	T02464	Candidatus Kinetoplastibacterium crithidii TCC036E
kde	T02465	Candidatus Kinetoplastibacterium desouzaii
kdi	T01484	Dokdonia sp. 4H-3-7-5
keu	T04893	Komagataeibacter europaeus
kfl	T01155	Kribbella flavida
kfv	T04206	Kocuria flava
kga	T02466	Candidatus Kinetoplastibacterium galatii
